competition_id,date,name
1585,2017-03-19,Men's Chicagoland Raw Open
1588,2017-03-25,2017 Kenai Peninsula Classic
1590,2017-03-18,2017 Washington State Championships
1591,2017-03-18,920 Raw Open
1593,2017-02-25,Terrapin Open
1596,2017-03-25,Squats & Science Powerlifting Championship
1597,2017-03-04,2017 Minnesota State Men's Powerlifting Championships
1598,2017-04-01,2017 Mississippi Championship
1599,2017-03-25,Iron City Open
1600,2017-04-01,2017 Kalamazoo BarBellum
1602,2017-03-25,2017 South Dakota State Championships
1603,2017-04-01,District Open
1604,2017-04-01,2017 Oregon State Championships
1606,2017-04-01,Georgia Spring Open
1607,2017-02-18,2017 Aggie Showdown
1608,2017-04-07,2017 Collegiate National Championship
1610,2017-03-26,35th Annual Florida State Championships
1611,2017-04-01,2017 CBUS Lifting Co Spring Classic
1612,2015-04-11,2015 Equinox Open
1613,2017-04-08,2017 Battle on the Border
1614,2017-04-08,2017 Pennsylvania State Championship
1615,2017-04-08,2017 Arizona State Championship
1616,2017-04-22,Capital City Barbell Raw Powerlifting Championship
1617,2017-04-22,2017 Alaska State Championship
1618,2017-04-22,2017 Empire Classic
1619,2017-04-22,2017 Twin Cities Open
1620,2017-04-29,Tennessee State Championship
1621,2017-04-29,2017 Central Texas Classic
1622,2017-04-23,2017 Dallas Open
1623,2017-04-22,2017 CBC Powerlifting Championships
1624,2017-04-29,2017 SBWC Spring Classic
1625,2017-04-22,4th Annual NoVa Open
1626,2017-04-29,Pure Fitness Spring Open
1627,2017-04-29,2017 Spring Natural and Fit BarBellum
1628,2017-04-29,2017 New Hampshire State Championship
1629,2017-04-30,2017 Delaware State Championship
1631,2017-04-17,2nd IPF World Classic Bench Press - Killeen - USA
1632,2017-04-29,Nebraska State Championships
1633,2017-04-15,Buffalo Battle at the Border
1634,2017-04-23,SCI- Graterford Meet
1635,2017-03-29,High School Raw & Equipped Nationals
1636,2017-04-29,Gorilla Warfare
1638,2017-04-29,2017 California State Championship
1639,2017-05-06,2017 Husky Invitational
1640,2017-05-06,2017 American Strength Master's Brawl
1641,2017-05-06,2017 STS Ohio Spring Classic
1642,2017-05-06,2017 Atlanta Women's Open
1643,2017-05-06,Illinois State Meet 2017
1644,2017-05-06,2017 LA State Games
1647,2017-05-06,2017 Massachusetts and Rhode Island State Championships
1648,2017-05-06,Connecticut State Championships and Spring Classic
1649,2017-05-19,35th Annual Open National Championship
1650,2017-05-13,Westchester County Championships II
1654,2017-05-13,Team Cup Challenge
